"",".id","name","chrom","start","end","subject","AGI","At_symbol","At_description","perc_ID","aln_length","mismatch","gap_open","qstart","qend","sstart","send","eval","score"
"16","QTL1","Bra029093","A03",6325490,6327836,"AT5G53160.2","AT5G53160","PYL8;RCAR3","Encodes RCAR3, a regulatory component of ABA receptor.  Interacts with protein phosphatase 2Cs ABI1 and ABI2.  Stimulates ABA signaling.",88.868,521,55,1,576,1096,553,36,0,677
"17","QTL1","Bra029094","A03",6333703,6334992,"AT3G21910.1","AT3G21910",NA,NA,66.914,807,192,20,149,889,1,798,1.99e-59,230
"18","QTL1","Bra029095","A03",6336136,6339635,"AT5G53140.1","AT5G53140",NA,NA,83.651,1260,140,9,334,1545,1263,22,0,1362
"19","QTL1","Bra029096","A03",6340364,6343367,"AT5G53100.1","AT5G53100",NA,NA,86.489,1088,144,1,164,1248,1094,7,0,1297
"20","QTL1","Bra029097","A03",6345482,6346430,"AT5G03000.1","AT5G03000",NA,NA,72.085,283,67,6,103,379,311,587,8.86e-32,138
"21","QTL1","Bra029098","A03",6347458,6349560,"AT5G53635.1","AT5G53635",NA,NA,68.043,920,206,16,603,1499,857,3,7.31e-93,342
"22","QTL1","Bra029099","A03",6352615,6355969,"AT5G53050.2","AT5G53050",NA,NA,84.502,1084,144,3,72,1143,120,1191,0,1205
"23","QTL1","Bra029100","A03",6355997,6357229,"AT5G53045.1","AT5G53045",NA,NA,86.713,286,38,0,124,409,1,286,2.46e-94,345
"24","QTL1","Bra029101","A03",6359444,6361136,"AT5G52900.1","AT5G52900","MAKR6",NA,85.345,696,87,4,287,970,16,708,0,791
"25","QTL1","Bra029102","A03",6370825,6371339,"AT5G52890.1","AT5G52890",NA,NA,83.333,180,30,0,246,425,765,944,7.21e-48,190
"26","QTL1","Bra029103","A03",6372581,6373981,"AT1G54400.1","AT1G54400",NA,NA,81.341,552,103,0,216,767,552,1,3.64e-150,531
"27","QTL1","Bra029104","A03",6382386,6387497,"AT5G52882.1","AT5G52882",NA,NA,89.516,2499,226,4,589,3060,1,2490,0,3341
"28","QTL1","Bra029105","A03",6390840,6392820,"AT5G52870.1","AT5G52870","MAKR5",NA,73.255,1017,167,16,110,1057,1,981,7.76e-180,630
"29","QTL1","Bra029106","A03",6398093,6400282,"AT5G52840.1","AT5G52840",NA,NA,88.063,511,58,1,239,749,508,1,0,645
"30","QTL1","Bra029107","A03",6403151,6404298,"AT5G52760.1","AT5G52760",NA,NA,74.25,400,76,9,292,685,379,1,9.67e-63,241
"31","QTL1","Bra029108","A03",6407348,6410244,"AT2G25840.1","AT2G25840","OVA4",NA,87.196,1070,130,3,214,1278,1209,142,0,1305
"32","QTL1","Bra029109","A03",6411684,6412278,"AT5G52670.1","AT5G52670",NA,NA,84.641,306,47,0,4,309,306,1,4.32e-93,340
"33","QTL1","Bra100572","A03",6411684,6412126,"AT3G02970.1","AT3G02970","EXL6",NA,85.907,518,64,2,15,526,521,7,1.2e-172,605
"34","QTL1","Bra029111","A03",6415599,6418393,"AT5G52660.1","AT5G52660",NA,NA,87.855,881,92,5,84,961,123,991,0,1097
"35","QTL1","Bra029112","A03",6418833,6420161,"AT4G25740.1","AT4G25740",NA,NA,82.784,546,70,6,81,614,1,534,9.68e-158,556
"36","QTL1","Bra029113","A03",6422082,6422945,"AT5G52600.1","AT5G52600","AtMYB82;MYB82","Member of the R2R3 factor gene family.",83.498,606,78,9,18,610,10,606,2.38e-177,621
"37","QTL1","Bra029114","A03",6428106,6431282,"AT5G52540.1","AT5G52540",NA,NA,83.547,1404,204,7,41,1435,1,1386,0,1483
"38","QTL1","Bra029115","A03",6432660,6433709,"AT5G52440.1","AT5G52440","HCF106","HCF106; nuclear gene for chloroplast. Thylakoid membrane delta pH translocation pathway component protein; related to Escherichia coli TatA and TatB",83.173,208,26,1,177,375,709,502,3.75e-57,221
"39","QTL1","Bra029116","A03",6438159,6439580,"AT5G52440.1","AT5G52440","HCF106","HCF106; nuclear gene for chloroplast. Thylakoid membrane delta pH translocation pathway component protein; related to Escherichia coli TatA and TatB",82.129,789,90,7,215,958,783,1,0,801
"40","QTL1","Bra029117","A03",6442066,6444647,"AT5G52400.1","AT5G52400","CYP715A1","member of CYP715A",89.184,1544,161,2,2,1539,1559,16,0,2028
"41","QTL1","Bra029118","A03",6453932,6455935,"AT5G52380.1","AT5G52380",NA,NA,82.482,822,111,6,309,1112,1,807,0,836
"42","QTL1","Bra029119","A03",6456516,6457915,"AT5G52360.1","AT5G52360","ADF10",NA,89.855,414,42,0,186,599,1,414,2.65e-158,558
"43","QTL1","Bra029120","A03",6460580,6462077,"AT5G52320.1","AT5G52320","CYP96A4","member of CYP96A",84.427,1509,223,1,1,1497,1,1509,0,1669
"44","QTL1","Bra029121","A03",6463557,6466025,"AT5G52300.1","AT5G52300","LTI65;RD29B","encodes a protein that is induced in expression in response to water deprivation such as cold, high-salt, and dessication. The response appears to be via abscisic acid. The promoter region contains two ABA-responsive elements (ABREs) that are required for the dehydration-responsive expression of rd29B as cis-acting elements. Protein is a member of a gene family with other members found plants, animals and fungi.",75.105,948,168,12,184,1097,1860,947,0,654
"45","QTL1","Bra029123","A03",6474330,6476223,"AT5G53080.1","AT5G53080",NA,NA,69.965,283,43,6,211,451,345,63,5.7e-32,138
"46","QTL1","Bra029124","A03",6479065,6480481,"AT1G54270.1","AT1G54270","EIF4A-2","member of eIF4A - eukaryotic initiation factor 4A",89.5,1219,125,1,15,1233,24,1239,0,1620
"47","QTL1","Bra029125","A03",6481964,6482351,"AT1G73150.1","AT1G73150","GTE3","Bromodomain and extra terminal domain family protein. Binds to acetyl-histone H3. Binding is reduced when GTE3 is SUMOylated by SIZ1.",70.336,327,43,7,14,286,464,138,5.89e-42,170
"48","QTL1","Bra029127","A03",6488447,6494399,"AT5G52290.1","AT5G52290","SHOC1","Encodes a protein with similarity to  XPF endonucleases. Loss of function mutations have defects in meiosis- specifically a reduction in the number of chiasmata. As a result both pollen and embryo sacs are abnormal and plants have severely reduced fertility.",82.992,4886,662,23,1,4818,1,4785,0,5113
"49","QTL1","Bra029128","A03",6496038,6496997,"AT5G52270.1","AT5G52270",NA,NA,85.487,503,73,0,1,503,1,503,1.86e-164,578
"50","QTL1","Bra029129","A03",6496911,6498454,"AT5G52260.1","AT5G52260","AtMYB19;MYB19","Member of the R2R3 factor gene family.",84.932,803,103,4,447,1234,800,1,0,901
"51","QTL1","Bra029130","A03",6500909,6501989,"AT5G46630.1","AT5G46630","AP2M","clathrin adaptor complexes medium subunit family protein, contains Pfam profile: PF00928 adaptor complexes medium subunit family; similar to micro-adaptins of clathrin coated vesicle adaptor complexes",89.444,180,19,0,236,415,262,83,3.37e-62,239
"52","QTL1","Bra029131","A03",6502909,6504409,"AT5G52250.1","AT5G52250","EFO1;RUP1","Encodes a transducin protein whose gene expression is induced by UV-B. This induction is reduced in hy5 mutant and may be a target of HY5 during UV-B response.",83.793,1160,154,11,88,1229,1144,1,0,1225
"53","QTL1","Bra029132","A03",6505448,6507133,"AT5G52210.1","AT5G52210","ATARLB1;ATGB1;GB1","A member of ARF-like GTPase family. A thaliana has 21 members, in two subfamilies, ARF and ARF-like (ARL) GTPases.",87.702,618,76,0,232,849,618,1,0,773
"54","QTL1","Bra029133","A03",6507237,6509036,"AT5G52200.1","AT5G52200","AtI-2;I-2",NA,77.273,550,72,14,128,649,1,525,7.33e-115,414
"55","QTL1","Bra029134","A03",6509653,6513759,"AT5G52190.1","AT5G52190",NA,NA,79.68,625,115,3,62,674,1,625,1.16e-156,553
"56","QTL1","Bra029135","A03",6513744,6514324,"AT5G52160.1","AT5G52160",NA,NA,83.658,257,36,1,196,446,291,35,2.94e-73,275
"57","QTL1","Bra029137","A03",6518923,6523124,"AT5G52120.1","AT5G52120","AtPP2-A14;PP2-A14",NA,89.714,875,87,1,345,1216,1,875,0,1171
"58","QTL1","Bra029139","A03",6524977,6527170,"AT5G52110.1","AT5G52110","CCB2;HCF208",NA,85.544,837,106,2,102,932,1,828,0,969
"59","QTL1","Bra029140","A03",6526863,6528641,"AT5G52100.1","AT5G52100","CRR1","Is essential for chloroplast NAD(P)H dehydrogenase activity, which is involved in electron transfer between PSII and PSI. Likely functions in biogenesis or stabilization of the NAD(P)H dehydrogenase complex.",92.47,903,62,1,1,903,897,1,0,1323
"60","QTL1","Bra029141","A03",6530132,6536901,"AT5G52070.1","AT5G52070",NA,NA,68.576,576,159,12,274,837,585,20,5.47e-47,188
"61","QTL1","Bra029142","A03",6545810,6548257,"AT5G52060.1","AT5G52060","ATBAG1;BAG1","A member of Arabidopsis BAG (Bcl-2-associated athanogene) proteins, plant homologs of mammalian regulators of apoptosis. Plant BAG proteins are multi-functional and remarkably similar to their animal counterparts, as they regulate apoptotic-like processes ranging from pathogen attack, to abiotic stress, to plant development.",83.868,1029,121,6,585,1574,7,1029,0,1121
"62","QTL1","Bra100573","A03",6554431,6555244,"AT3G03790.2","AT3G03790",NA,NA,86.735,196,26,0,1,196,1627,1822,2.29e-62,237
"63","QTL1","Bra029145","A03",6560958,6562714,"AT5G52050.1","AT5G52050",NA,NA,79.085,1530,288,8,178,1694,1518,8,0,1310
"64","QTL1","Bra029146","A03",6567831,6570515,"AT5G52040.1","AT5G52040","At-RS41;ATRSP41;RS41","encodes an arginine/serine-rich splicing factor. transcript is alternatively spliced and is differentially expressed in different tissues (flowers, roots, stems, and leaves) examined.",81.216,1102,154,17,229,1308,1071,1,0,1025
"65","QTL1","Bra029147","A03",6576797,6577621,"AT5G52020.1","AT5G52020",NA,"encodes a member of the DREB subfamily A-4 of ERF/AP2 transcription factor family. The protein contains one AP2 domain. There are 17 members in this subfamily including TINY.",74.576,708,102,10,112,750,1,699,3.04e-138,491
"66","QTL1","Bra029148","A03",6578309,6580276,"AT5G52010.1","AT5G52010",NA,NA,79.766,1196,208,8,224,1390,1,1191,0,1061
"67","QTL1","Bra029149","A03",6580630,6583080,"AT5G51980.1","AT5G51980",NA,NA,82.154,1328,189,8,169,1472,1,1304,0,1333
"68","QTL1","Bra029150","A03",6583136,6583310,"AT5G51970.1","AT5G51970",NA,"Encodes a putative sorbitol dehydrogenase that can be thiolated in vitro.",89.881,168,17,0,7,174,654,487,3.61e-59,226
"69","QTL1","Bra029151","A03",6584684,6587197,"AT5G51950.1","AT5G51950",NA,NA,85.982,1762,239,3,1,1755,1,1761,0,2058
"70","QTL1","Bra029152","A03",6588294,6590346,"AT5G51950.1","AT5G51950",NA,NA,75.629,1629,338,6,229,1799,1727,100,0,1175
"71","QTL1","Bra029153","A03",6597538,6599433,"AT1G62170.1","AT1G62170",NA,NA,75.152,1312,282,14,17,1306,7,1296,0,874
"72","QTL1","Bra029154","A03",6600127,6603755,"AT5G51870.3","AT5G51870","AGL71",NA,82.504,663,110,2,266,925,1,660,0,670
"73","QTL1","Bra029155","A03",6610492,6613252,"AT5G51860.2","AT5G51860","AGL72",NA,86.789,598,73,1,341,938,1,592,0,724
"74","QTL1","Bra029157","A03",6621629,6623933,"AT5G51840.1","AT5G51840",NA,NA,87.46,622,66,2,319,931,738,120,0,773
"75","QTL1","Bra029158","A03",6624080,6625963,"AT5G51830.1","AT5G51830",NA,NA,89.244,1032,111,0,207,1238,1032,1,0,1361
"76","QTL1","Bra029159","A03",6626659,6628950,"AT5G51770.1","AT5G51770",NA,NA,86.76,574,70,2,330,903,1965,1398,0,690
"77","QTL1","Bra029160","A03",6631606,6633899,"AT5G51760.1","AT5G51760","AHG1","Encodes AHG1 (ABA-hypersensitive germination 1), a putative protein phosphatase 2C (PP2C).  Expressed in seeds.  AHG1 functions in seed development and germination.",81.417,1270,194,7,166,1417,1246,1,0,1232
"78","QTL1","Bra029161","A03",6648469,6649332,"AT2G07340.1","AT2G07340","PFD1",NA,87.339,387,49,0,16,402,1,387,3.78e-134,477
"79","QTL1","Bra029162","A03",6649668,6658706,"AT2G07360.1","AT2G07360",NA,NA,91.177,3593,293,4,258,3832,3587,1,0,5054
"80","QTL1","Bra029163","A03",6659032,6660976,"AT5G51600.1","AT5G51600","ATMAP65-3;MAP65-3;PLE","Mutant has defective roots. Essential for giant cell ontogenesis. Role in organizing the mitotic microtubule array during both early and late mitosis in all plant organs.",85.504,814,108,5,309,1122,1305,2108,0,922
"81","QTL1","Bra029164","A03",6661860,6664449,"AT5G51590.1","AT5G51590","AHL4",NA,82.04,1314,143,16,545,1819,1,1260,0,1317
"82","QTL1","Bra029165","A03",6666473,6667380,"AT5G51580.1","AT5G51580",NA,NA,70.986,355,77,5,560,891,314,665,9.65e-44,178
"83","QTL1","Bra029166","A03",6668068,6669956,"AT5G51570.1","AT5G51570",NA,NA,88.558,874,97,1,248,1118,874,1,0,1124
"84","QTL1","Bra029167","A03",6670272,6671554,"AT3G45030.1","AT3G45030",NA,NA,86.592,358,48,0,269,626,375,18,8.02e-120,430
"85","QTL1","Bra029168","A03",6672042,6673362,"AT5G51545.1","AT5G51545","LPA2","Encodes LPA2 (low psii accumulation2), an intrinsic thylakoid membrane protein required for efficient assembly of Photosystem II.",79.433,564,80,2,291,824,558,1,2.37e-146,518
"86","QTL1","Bra029169","A03",6674332,6677942,"AT5G51540.1","AT5G51540",NA,NA,87.01,2117,224,4,5,2070,2117,1,0,2607
"87","QTL1","Bra029170","A03",6682191,6684180,"AT5G51500.1","AT5G51500",NA,NA,80.691,1621,268,6,78,1662,12,1623,0,1526
"88","QTL1","Bra029171","A03",6683531,6686922,"AT5G51480.1","AT5G51480","SKS2",NA,82.007,1734,309,1,957,2687,1765,32,0,1719
"89","QTL1","Bra029172","A03",6695016,6695880,"AT5G59320.1","AT5G59320","LTP3","Predicted to encode a PR (pathogenesis-related) protein.  Belongs to the lipid transfer protein (PR-14) family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.",84,350,43,3,94,432,1,348,4.4e-104,378
"90","QTL1","Bra029173","A03",6698085,6700144,"AT5G51470.1","AT5G51470",NA,NA,85.51,1746,250,1,57,1799,1746,1,0,2006
"91","QTL1","Bra100575","A03",6701633,6702206,"AT3G03950.1","AT3G03950","ECT1","Physically interacts with CIPK1. Located in the nucleus.",70.833,240,31,1,1,201,532,771,9.4e-36,149
"92","QTL1","Bra100576","A03",6704969,6705244,"AT5G63940.1","AT5G63940",NA,NA,87.5,416,42,2,1,408,1609,2022,3.67e-146,517
"93","QTL1","Bra029174","A03",6707313,6708325,"AT5G51440.1","AT5G51440",NA,NA,77.08,637,97,10,218,810,632,1,1.2e-137,489
"94","QTL1","Bra029175","A03",6708531,6711119,"AT5G51410.1","AT5G51410",NA,NA,88.095,1008,117,1,1,1008,1,1005,0,1276
"95","QTL1","Bra029176","A03",6711502,6713403,"AT5G51380.1","AT5G51380",NA,NA,77.665,1482,277,8,160,1629,1440,1,0,1193
"96","QTL1","Bra029177","A03",6716144,6719879,"AT5G51300.1","AT5G51300",NA,NA,84.11,2190,252,12,264,2393,262,2415,0,2414
"97","QTL1","Bra029178","A03",6720035,6723777,"AT5G51290.1","AT5G51290","ACD5",NA,88.807,1769,177,4,172,1925,65,1827,0,2298
"98","QTL1","Bra029179","A03",6725824,6739282,"AT5G51230.1","AT5G51230","AtEMF2;CYR1;EMF2;VEF2","Polycomb group protein with zinc finger domain involved in negative regulation of reproductive development. Forms a complex with FIE, CLF, and MSI1. This complex modulates the expression of target genes including AG, PI and AP3.",81.619,1050,161,9,2082,3115,1103,70,0,1012
"99","QTL1","Bra029180","A03",6743451,6745021,"AT5G39960.1","AT5G39960",NA,NA,87.351,672,81,2,249,916,879,1550,0,823
"100","QTL1","Bra029182","A03",6751189,6752673,"AT5G51160.1","AT5G51160",NA,NA,84.254,1340,185,6,32,1356,1329,1,0,1462
"101","QTL1","Bra029183","A03",6752692,6755606,"AT5G51150.1","AT5G51150",NA,NA,86.554,1599,203,4,394,1983,1596,1,0,1907
"102","QTL1","Bra029184","A03",6756739,6759009,"AT5G51140.1","AT5G51140",NA,NA,89.192,1101,116,1,9,1109,90,1187,0,1447
"103","QTL1","Bra029185","A03",6759335,6761487,"AT5G51130.1","AT5G51130",NA,NA,81.884,966,115,11,1,915,957,1,0,958
"104","QTL1","Bra029186","A03",6762280,6764178,"AT4G06634.1","AT4G06634","AtYY1;YY1",NA,79.843,1146,168,9,189,1286,1158,28,0,1041
"105","QTL1","Bra029187","A03",6764595,6766559,"AT5G51120.1","AT5G51120","ATPABN1;PABN1","Encodes a homolog of the protein PABN1, a polyadenylation factor subunit.",87.24,674,71,3,147,805,684,11,0,829
"106","QTL1","Bra029188","A03",6766745,6768369,"AT5G51110.1","AT5G51110",NA,NA,88.312,539,63,0,181,719,121,659,0,688
"107","QTL1","Bra029189","A03",6768921,6769573,"AT4G09545.1","AT4G09545","CRP4","Encodes a ECA1 gametogenesis related family protein",75.655,267,62,1,159,425,82,345,1.33e-46,187
"108","QTL1","Bra029190","A03",6775794,6777845,"AT5G51100.1","AT5G51100","FSD2","Fe superoxide dismutase whose mRNA levels are increased in response to exposure to UV-B.",86.851,905,104,4,108,1000,17,918,0,1092
"109","QTL1","Bra029191","A03",6779096,6784686,"AT3G47090.1","AT3G47090",NA,NA,77.811,2677,561,9,1,2653,1,2668,0,2140
"110","QTL1","Bra029192","A03",6784818,6787077,"AT4G00650.1","AT4G00650","FLA;FRI;RSB7","Encodes a major determinant of natural variation in Arabidopsis flowering time. Dominant alleles of FRI confer a vernalization requirement causing plants to overwinter vegetatively. Many early flowering accessions carry loss-of-function fri alleles .Twenty distinct haplotypes that contain non-functional FRI alleles have been identified and the distribution analyzed in over 190 accessions. The common lab strains- Col and Ler each carry loss of function mutations in FRI.",75.351,499,117,1,920,1418,937,445,1.89e-94,347
"111","QTL1","Bra029193","A03",6788238,6792686,"AT5G51070.1","AT5G51070","CLPD;ERD1;SAG15","ATP-dependent Clp protease regulatory subunit",87.298,2850,332,8,1,2832,2838,1,0,3499
"112","QTL1","Bra029194","A03",6796726,6802215,"AT5G51060.1","AT5G51060","ATRBOHC;RBOHC;RHD2","RHD2 (along with RHD3 and RHD4) is required for normal root hair elongation. Has NADPH oxidase activity. Gene is expressed in the elongation and differention zone in trichoblasts and elongating root hairs. RDH2 is localized to the growing tips of root hair cells. It is required for the production of reactive oxygen species in response to extracellular ATP stimulus. The increase in ROS production stimulates Ca2+ influx.",87.555,2740,300,14,206,2932,7,2718,0,3378
"113","QTL1","Bra022746","A03",6811691,6813249,"AT5G51030.1","AT5G51030",NA,NA,89.577,921,96,0,66,986,25,945,0,1229
"114","QTL1","Bra022747","A03",6813949,6815414,"AT5G51020.1","AT5G51020","CAA33;CRL","Encodes CRL (CRUMPLED LEAF), a protein localized in the outer envelope membrane of plastids.  Mutation in this gene affects the pattern of cell division, cell differentiation and plastid division.",90.223,808,79,0,22,829,1,808,0,1101
"115","QTL1","Bra022748","A03",6815267,6816506,"AT5G51010.1","AT5G51010",NA,NA,83.716,479,48,4,337,803,465,5,2.11e-147,522
"116","QTL1","Bra022749","A03",6817089,6820016,"AT5G50970.1","AT5G50970",NA,NA,88.554,1162,109,3,192,1347,1539,396,0,1505
"117","QTL1","Bra022750","A03",6821779,6823231,"AT5G50930.1","AT5G50930",NA,NA,88.81,420,41,2,268,684,729,313,1.8e-153,542
"118","QTL1","Bra022751","A03",6824409,6828353,"AT5G50920.1","AT5G50920","ATHSP93-V;CLPC;CLPC1;DCA1;HSP93-V","Encodes a protein that is similar to ATP-dependent Clp protease ATP-binding subunit / ClpC. Involved in protein import into the chloroplast. May provide ATP source that drives the TIC (Translocon at the Inner envelope membrane of Chloroplasts) translocation machinery.",92.255,2789,214,2,386,3173,1,2788,0,4049
"119","QTL1","Bra022752","A03",6828828,6830661,"AT5G42660.1","AT5G42660",NA,NA,82.086,1390,215,9,9,1384,12,1381,0,1375
"120","QTL1","Bra022753","A03",6835406,6837887,"AT5G50915.1","AT5G50915",NA,NA,79.425,904,129,8,279,1170,1,859,0,807
"121","QTL1","Bra022754","A03",6853183,6856006,"AT5G50900.1","AT5G50900",NA,NA,76.485,1667,359,6,266,1917,20,1668,0,1242
"122","QTL1","Bra022755","A03",6856372,6858173,"AT5G50870.1","AT5G50870","UBC27",NA,90.155,579,57,0,163,741,1,579,0,787
"123","QTL1","Bra022756","A03",6860866,6863787,"AT5G50860.1","AT5G50860",NA,NA,86.398,1588,189,6,292,1870,174,1743,0,1887
"124","QTL1","Bra022757","A03",6863781,6867110,"AT5G50850.1","AT5G50850","MAB1",NA,91.848,1104,78,1,438,1541,1092,1,0,1591
"125","QTL1","Bra022758","A03",6868308,6871384,"AT5G50840.1","AT5G50840",NA,NA,82.85,1242,159,10,254,1480,1203,1,0,1283
"126","QTL1","Bra022759","A03",6872613,6874391,"AT5G50830.2","AT5G50830",NA,NA,74.747,891,120,14,291,1118,849,1,3.36e-178,625
"127","QTL1","Bra022760","A03",6875671,6876462,"AT5G50810.1","AT5G50810","TIM8","Encodes a small zinc finger-like protein that is a component of the mitochondrial protein import apparatus.",82.511,223,34,2,68,286,1,222,1.73e-57,223
"128","QTL1","Bra022761","A03",6889851,6891585,"AT5G50790.1","AT5G50790","AtSWEET10;SWEET10",NA,84.253,870,137,0,180,1049,1,870,0,951
"129","QTL1","Bra022762","A03",6892057,6896618,"AT5G50780.1","AT5G50780",NA,NA,77.51,2161,356,15,267,2314,2457,314,0,1755
"130","QTL1","Bra022763","A03",6900345,6901281,"AT5G50760.1","AT5G50760","SAUR55",NA,79.266,545,86,8,269,795,552,17,1.68e-129,462
"131","QTL1","Bra022764","A03",6911431,6913909,"AT5G50740.3","AT5G50740",NA,NA,86.652,899,84,8,264,1153,1,872,0,1077
"132","QTL1","Bra022765","A03",6916185,6917891,"AT5G50720.1","AT5G50720","ATHVA22E;HVA22E","Encodes one of five HVA22 homologs in Arabidopsis.  HVA22 is an ABA- and stress-inducible gene first isolated from barley.  Members of this gene family have only been found in eukaryotes. AtHVA22e mRNA is upregulated to varying degrees in response to cold stress, salt stress, ABA treatment or dehydration.",90.028,351,35,0,106,456,1,351,2.05e-133,475
"133","QTL1","Bra022766","A03",6921573,6923786,"AT5G50570.1","AT5G50570","SPL13;SPL13A",NA,76.765,1119,128,18,187,1215,1,1077,0,884
"134","QTL1","Bra022767","A03",6929569,6933593,"AT2G29980.1","AT2G29980","AtFAD3;FAD3","Endoplasmic reticulum enzyme responsible for the synthesis of 18:3 fatty acids from phospholipids. Uses cytochrome b5 as electron donor.",91.214,1161,93,2,137,1288,1161,1,0,1633
"135","QTL1","Bra022768","A03",6947628,6950764,"AT2G29990.1","AT2G29990","NDA2",NA,86.349,1531,185,4,217,1729,1525,1,0,1822
"136","QTL1","Bra022769","A03",6954178,6955305,"AT2G30000.1","AT2G30000",NA,NA,89.189,333,36,0,283,615,333,1,1.69e-122,439
