name,UN_network,MR_Cutoff,.id,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score,FVTtrait,AveExpr.UN,F.UN,P.Value.UN,adj.P.Val.UN,rank_F.UN
Bra000011,NA,NA,QTL6,A03,8842485,8844409,AT2G37630.1,AT2G37630,AS1;ATMYB91;ATPHAN;MYB91,Encodes a MYB-domain protein involved in specification of the leaf proximodistal axis. Mutation results in lobed and dissected leaves with a characteristic asymmetry. Homologous to the Antirrhinum PHANTASTICA (PHAN) and maize ROUGH SHEATH2 (RS2) genes  Asymmetric placement of auxin response at the distal leaf tip precedes visible asymmetric leaf growth.  Acts alongside AXR1 to exclude BP expression in leaves and with PIN1 to repress BP and promote lateral organ growth. Interacts physically with AS2 to form a complex that binds to the BP promoter and silences BP.  Also functions as a regulator of the plant immune response.,82.633,1094,109,7,272,1290,1088,1,0,1159,UNduration2011,5.127966104605494,2.4100155364928217,3.9238373980855407e-10,1.340905596952155e-9,20280
Bra000012,NA,NA,QTL6,A03,8855293,8857810,AT2G37650.1,AT2G37650,"NA","NA",81.62,1975,261,16,209,2096,198,2157,0,1945,UNduration2011,2.8257510311336014,1.916804087994785,3.3319201104818755e-6,6.948387701119838e-6,14922
Bra000013,NA,NA,QTL6,A03,8861868,8866066,AT2G37690.1,AT2G37690,"NA","NA",87.785,1932,209,4,219,2126,1,1929,0,2426,UNduration2011,4.890243603427298,3.528942514969489,2.2881873135266353e-19,1.7073855779328885e-18,24827
Bra000014,NA,NA,QTL6,A03,8865883,8869125,AT2G37700.1,AT2G37700,"NA","NA",84.163,1869,239,3,4,1842,1842,1,0,2075,UNduration2011,NA,NA,NA,NA,NA
Bra000015,NA,NA,QTL6,A03,8871516,8873745,AT2G37710.1,AT2G37710,LecRK-IV.1;RLK,Induced in response to Salicylic acid.,85.182,2038,285,5,19,2049,2028,1,0,2307,UNduration2011,0.15826830230907463,1.5815003472455098,8.279497559508216e-4,0.0012694225908438418,9971
Bra000016,NA,NA,QTL6,A03,8884292,8886197,AT1G20470.1,AT1G20470,SAUR60,"NA",88.77,187,20,1,321,506,194,8,1.9e-62,239,UNduration2011,NA,NA,NA,NA,NA
Bra000017,NA,NA,QTL6,A03,8887732,8888534,AT2G37750.1,AT2G37750,"NA","NA",72.656,256,41,7,132,365,1,249,6.13e-33,141,UNduration2011,NA,NA,NA,NA,NA
Bra000018_Bra000019,NA,NA,QTL6,A03,8889807,8896994,AT2G37770.2,AT2G37770,AKR4C9;ChlAKR,"NA",87.209,946,121,0,84,1029,1,946,0,1160,UNduration2011,3.776141230989788,1.6134585391522969,5.079873754278737e-4,7.994171421620619e-4,10452
Bra000020,NA,NA,QTL6,A03,8897927,8898629,AT2G37780.1,AT2G37780,"NA","NA",80.045,441,76,3,246,686,433,5,1.53e-109,396,UNduration2011,NA,NA,NA,NA,NA
Bra000021,NA,NA,QTL6,A03,8900136,8901096,AT2G37800.1,AT2G37800,"NA","NA",77.586,522,117,0,391,912,922,401,7.84e-115,414,UNduration2011,NA,NA,NA,NA,NA
Bra000022,NA,NA,QTL6,A03,8903597,8904350,AT2G37800.1,AT2G37800,"NA","NA",78.232,758,129,4,32,753,1160,403,0,637,UNduration2011,NA,NA,NA,NA,NA
Bra000023,NA,NA,QTL6,A03,8907865,8911950,AT2G37840.1,AT2G37840,"NA","NA",86.378,2195,239,8,224,2367,16,2201,0,2628,UNduration2011,4.418178393986457,7.400466457127399,1.6560274490453583e-46,2.9396281677543244e-45,27054
Bra000024,NA,NA,QTL6,A03,8912047,8914627,AT2G37860.3,AT2G37860,LCD1,"Encodes a protein of unknown function.  Mutants have pale leaves, lower cell density in the palisade parenchyma and increased sensitivity to ozone and virulent Pseudomonas syringae",83.638,1314,167,8,434,1714,1,1299,0,1407,UNduration2011,3.7055825525921833,1.6616651712047723,2.389326375637346e-4,3.9228685949700156e-4,11208
Bra000025,NA,NA,QTL6,A03,8916061,8916808,AT2G37880.1,AT2G37880,"NA","NA",81.491,751,116,4,1,741,1,738,0,731,UNduration2011,NA,NA,NA,NA,NA
Bra000026,NA,NA,QTL6,A03,8916054,8919309,AT2G37890.1,AT2G37890,"NA","NA",80.999,1021,167,5,1223,2234,1003,1,0,969,UNduration2011,3.300426502788716,1.4901666522087211,0.0031596023510519194,0.00448857681863015,8489
Bra000027,NA,NA,QTL6,A03,8920043,8923695,AT2G37900.1,AT2G37900,"NA","NA",87.543,1726,203,3,227,1949,1717,1,0,2141,UNduration2011,1.0580511350909731,1.3150767192028243,0.030929146887037046,0.03873473343050011,5778
Bra000028,NA,NA,QTL6,A03,8926805,8927868,AT2G37920.1,AT2G37920,emb1513,"NA",76.671,763,143,13,265,1011,756,13,5.86e-155,547,UNduration2011,5.000700187455725,1.7955136639846174,2.6749038437505858e-5,4.957599133219666e-5,13201
Bra000029,NA,NA,QTL6,A03,8929056,8932540,AT2G37940.1,AT2G37940,AtIPCS2;ERH1,I,90.326,889,83,1,3,891,33,918,0,1214,UNduration2011,1.907602165861141,1.8039336765867744,2.321118808314588e-5,4.3344081550783356e-5,13317
Bra000030,NA,NA,QTL6,A03,8932912,8934283,AT2G37950.1,AT2G37950,"NA","NA",80.346,636,74,14,1,612,624,16,4.61e-161,567,UNduration2011,0.776435135486499,1.3132942787453439,0.031583771269307316,0.03950624175350156,5750
Bra000031,NA,NA,QTL6,A03,8939196,8939799,AT2G37970.1,AT2G37970,AtHBP2;HBP2;SOUL-1,"NA",79.784,648,86,3,1,603,31,678,1.39e-172,605,UNduration2011,0.8255428986479608,1.0364916219730018,0.39745063198050956,0.4291245374215595,2117
Bra000032,NA,NA,QTL6,A03,8939970,8940207,AT2G37975.1,AT2G37975,"NA","NA",90.717,237,22,0,1,237,237,1,5.82e-90,329,UNduration2011,2.001388177637203,0.6814295189085936,0.9925698238946516,0.9961430129618626,104
Bra000033,NA,NA,QTL6,A03,8941514,8945364,AT2G37980.1,AT2G37980,"NA","NA",83.514,1941,239,13,334,2217,1917,1,0,2073,UNduration2011,1.5028378282961952,2.2895370209018444,3.784301279281446e-9,1.1479033866727383e-8,19218
Bra000034,NA,NA,QTL6,A03,8950309,8952667,AT2G37990.1,AT2G37990,"NA","NA",86.025,966,120,4,79,1038,1,957,0,1130,UNduration2011,5.4970160347112795,1.4229179803244356,0.007969548163438115,0.010754613384929574,7425
Bra000035,NA,NA,QTL6,A03,8958454,8962408,AT2G38020.1,AT2G38020,EMB258;MAN;VCL1,necessary for proper vacuole formation and morphogenesis in Arabidopsis,89.699,1563,161,0,901,2463,1563,1,0,2093,UNduration2011,5.315622462189618,1.043406349459512,0.3805125914413404,0.41218346484775836,2204
Bra000036,NA,NA,QTL6,A03,8966126,8967865,AT2G38025.1,AT2G38025,"NA","NA",82.486,708,79,6,252,923,701,3,0,731,UNduration2011,3.5313203041344536,7.749745238200551,1.4691643700696923e-48,2.7225600621304424e-47,27122
Bra000037,NA,NA,QTL6,A03,8968079,8971901,AT2G38040.1,AT2G38040,CAC3,"encodes the carboxyltransferase alpha subunit of acetyl-CoA carboxylase, involved in de novo fatty acid biosynthesis",84.755,2322,321,6,248,2548,1,2310,0,2594,UNduration2011,6.811181205992698,1.0391343718737818,0.3909408927592456,0.42262127205483063,2150
Bra000038,NA,NA,QTL6,A03,8981755,8984668,AT2G38090.1,AT2G38090,"NA","NA",88.556,900,94,2,620,1513,1,897,0,1159,UNduration2011,3.515082159236318,1.6785262513542245,1.8267829120656624e-4,3.0488567574721087e-4,11492
Bra000039,NA,NA,QTL6,A03,8989220,8993664,AT2G38120.1,AT2G38120,AtAUX1;AUX1;MAP1;PIR1;WAV5,Encodes an auxin influx transporter.  AUX1 resides at the apical plasma membrane of protophloem cells and at highly dynamic subpopulations of Golgi apparatus and endosomes in all cell types.  AUX1 action in the lateral root cap and/or epidermal cells influences lateral root initiation and positioning.,88.593,1464,149,4,293,1753,10,1458,0,1885,UNduration2011,1.1370016452119467,1.2419200018449428,0.06994289415401735,0.08364786156636642,4698
Bra000041,NA,NA,QTL6,A03,8999654,9001948,AT2G38180.1,AT2G38180,"NA","NA",86.461,746,101,0,1,746,1,746,0,890,UNduration2011,0.1427831246773907,2.5769682221851045,1.646117335009678e-11,6.557022614986446e-11,21472
Bra000042,NA,NA,QTL6,A03,9004383,9006159,AT2G38180.1,AT2G38180,"NA","NA",83.466,756,118,2,65,813,1,756,0,798,UNduration2011,4.675111428534947,3.3197826854100394,1.163065379984564e-17,7.774016860199926e-17,24380
Bra000043,NA,NA,QTL6,A03,9007989,9010814,AT2G38185.1,AT2G38185,APD1,"NA",79.353,1143,228,3,176,1311,185,1326,0,991,UNduration2011,2.360368806041779,9.745896196576203,2.6673239547466593e-59,6.186637794067737e-58,27433
Bra000044,NA,NA,QTL6,A03,9013446,9019414,AT1G66970.1,AT1G66970,GDPDL1;SVL2,"NA",82.263,2024,298,14,282,2251,4,2020,0,2024,UNduration2011,NA,NA,NA,NA,NA
Bra000045,NA,NA,QTL6,A03,9021809,9024849,AT2G38240.1,AT2G38240,"NA","NA",85.143,1050,156,0,186,1235,1050,1,0,1191,UNduration2011,NA,NA,NA,NA,NA
Bra000046,NA,NA,QTL6,A03,9038130,9039655,AT2G38250.1,AT2G38250,"NA","NA",86.456,886,93,4,120,1002,1,862,0,1063,UNduration2011,NA,NA,NA,NA,NA
Bra000047,NA,NA,QTL6,A03,9042700,9044511,AT2G38270.1,AT2G38270,ATGRX2;AtGRXS16;CXIP2,"Encodes protein homologous to CXIP1.  CXIP1 is a PICOT domain containing protein interacts with CAX1, a high capacity calcium transporter.  However, CXP2 does not interact with CAX1 and only moderately activates another calcium transporter CAX4.",84.4,891,124,7,198,1082,882,1,0,962,UNduration2011,5.710304406219946,1.9906182834022228,9.044570538030115e-7,2.0365201710983925e-6,15937
Bra000048,NA,NA,QTL6,A03,9046052,9049759,AT3G51770.1,AT3G51770,ATEOL1;ETO1,"Encodes a negative regulator of 1-aminocyclopropane-1-carboxylic acid synthase5(ACS5), which catalyze the rate-limiting step in ethylene biosynthesis. ETO1 directly interacts with ACS5 and inhibits its enzyme activity and targets it for degradation via proteasome-dependent pathway. It also interacts with CUL3 (a component of ubiquitin ligase complexes). eto1 (and eto3) mutations elevate ethylene biosynthesis by affecting the posttranscriptional regulation of ACS",79.623,2709,536,6,102,2796,135,2841,0,2385,UNduration2011,0.24374518017998156,3.0026566228989076,4.809301881316669e-15,2.682877336711155e-14,23530
Bra000049,NA,NA,QTL6,A03,9051908,9052091,AT4G10450.1,AT4G10450,"NA","NA",70.619,194,42,1,5,183,194,1,1.1e-21,102,UNduration2011,NA,NA,NA,NA,NA
Bra000050,NA,NA,QTL6,A03,9055598,9058314,AT2G38255.1,AT2G38255,"NA","NA",79.52,1001,187,2,108,1090,1002,2,0,888,UNduration2011,NA,NA,NA,NA,NA
Bra000052,NA,NA,QTL6,A03,9077244,9078403,AT2G38310.1,AT2G38310,PYL4;RCAR10,Encodes a member of the PYR (pyrabactin resistance  )/PYL(PYR1-like)/RCAR (regulatory components of ABA receptor) family proteins with 14 members.  PYR/PYL/RCAR family proteins function as abscisic acid sensors. Mediate ABA-dependent regulation of protein phosphatase 2Cs ABI1 and ABI2.,85.575,617,89,0,333,949,1,617,0,711,UNduration2011,2.228952988030356,3.676155903285168,1.4809135665255905e-20,1.1750575733505573e-19,25056
Bra000053,NA,NA,QTL6,A03,9084690,9087408,AT2G38320.1,AT2G38320,TBL34,"Encodes a member of the TBL (TRICHOME BIREFRINGENCE-LIKE) gene family containing a plant-specific DUF231 (domain of unknown function) domain. TBL gene family has 46 members, two of which (TBR/AT5G06700 and TBL3/AT5G01360) have been shown to be involved in the synthesis and deposition of secondary wall cellulose, presumably by influencing the esterification state of pectic polymers. A nomenclature for this gene family has been proposed (Volker Bischoff & Wolf Scheible, 2010, personal communication).",87.631,1237,136,6,251,1474,1,1233,0,1530,UNduration2011,NA,NA,NA,NA,NA
Bra000054,NA,NA,QTL6,A03,9103926,9105020,AT2G31960.1,AT2G31960,ATGSL03;ATGSL3;GSL03,encodes a protein similar to callose synthase,93.478,46,3,0,466,511,3946,3901,3.33e-11,69.8,UNduration2011,-0.05806663769996343,3.829193054379149,8.832587494033023e-22,7.436493928896878e-21,25264
Bra000055,NA,NA,QTL6,A03,9112183,9114770,AT2G38330.1,AT2G38330,"NA","NA",89.42,1380,146,0,188,1567,185,1564,0,1831,UNduration2011,6.0383042207526945,2.390975967572018,5.622281404634068e-10,1.888232934724103e-9,20133
Bra000056,NA,NA,QTL6,A03,9116590,9117259,AT2G38360.1,AT2G38360,PRA1.B4,"NA",81.109,667,120,2,3,669,661,1,1.11e-180,632,UNduration2011,4.159784837655796,2.0935169751291105,1.415657359879298e-7,3.5244520358679735e-7,17154
Bra000057,NA,NA,QTL6,A03,9118170,9120079,AT2G38370.1,AT2G38370,"NA","NA",78.254,653,75,8,87,698,1569,943,4.22e-159,562,UNduration2011,2.7672400627810476,1.1156897623653734,0.22615071892258193,0.2530063925881982,3044
Bra000060,NA,NA,QTL6,A03,9134163,9137149,AT2G38400.1,AT2G38400,AGT3,"alanine:glyoxylate aminotransferase 2 homolog (AGT3) mRNA,",86.908,1436,178,5,82,1509,1,1434,0,1728,UNduration2011,4.824897085974268,2.7958466682420173,2.5091789503685686e-13,1.1960948145854029e-12,22655
Bra000061,NA,NA,QTL6,A03,9137430,9138016,AT2G38440.1,AT2G38440,ATSCAR2;DIS3;ITB1;SCAR2;WAVE4,Encodes a subunit of the WAVE complex. The WAVE complex is required for activation of ARP2/3 complex which functions in actin microfilament nucleation and branching.   Mutations cause defects in both the actin and microtubule cytoskeletons that result in aberrant epidermal cell expansion. itb1 mutants showed irregularities in trichome branch positioning and expansion. The SHD domain of this protein binds to BRK1 and overexpression of the SHD domain results in a dominant negative phenotype.,74.342,152,32,4,323,474,2237,2381,7.17e-17,87.8,UNduration2011,NA,NA,NA,NA,NA
Bra000062,NA,NA,QTL6,A03,9139623,9143998,AT2G38430.1,AT2G38430,"NA","NA",77.637,711,110,8,549,1212,709,1,7.94e-163,574,UNduration2011,4.783563168160271,3.9919148231164723,4.549504923414927e-23,4.0504722715670535e-22,25449
Bra000063,NA,NA,QTL6,A03,9146806,9147949,AT2G38450.1,AT2G38450,"NA","NA",81.455,426,70,1,95,520,1,417,2.17e-115,416,UNduration2011,3.3337659780038775,1.3032368676801682,0.03551168238934137,0.044134430603790624,5602
Bra000064,NA,NA,QTL6,A03,9148951,9150925,AT2G38470.1,AT2G38470,ATWRKY33;WRKY33,Member of the plant WRKY transcription factor family.  Regulates the antagonistic relationship between defense pathways mediating responses to P. syringae and necrotrophic fungal pathogens.  Located in nucleus. Involved in response to various abiotic stresses - especially salt stress.,81.899,1569,159,19,127,1589,1,1550,0,1577,UNduration2011,1.4884655999422018,1.5047366529007151,0.0025673044636522206,0.003695866443907897,8755
Bra000065,NA,NA,QTL6,A03,9151215,9152126,AT2G38480.1,AT2G38480,"NA","NA",78.697,568,94,3,117,660,567,3,9.69e-138,489,UNduration2011,1.3945416488512714,1.6301113997390893,3.9236255314594376e-4,6.263991576314482e-4,10712
Bra000066,NA,NA,QTL6,A03,9153572,9155382,AT2G38490.1,AT2G38490,CIPK22;SnRK3.19,member of AtCIPKs,83.257,1308,215,2,502,1806,1368,62,0,1366,UNduration2011,NA,NA,NA,NA,NA
Bra000067,NA,NA,QTL6,A03,9158609,9160734,AT2G38500.1,AT2G38500,"NA","NA",88.329,1071,125,0,264,1334,1071,1,0,1368,UNduration2011,-1.0082467653232774,2.3384754986107983,1.5115567183435859e-9,4.815882196207371e-9,19671
Bra000068,NA,NA,QTL6,A03,9161968,9162355,AT2G38530.1,AT2G38530,cdf3;LP2;LTP2,"Involved in lipid transfer between membranes. Belongs to a family of Lipid transfer proteins. Sequence similarity to other plant/Arabidopsis LPT genes but highest similarity to LPT1. Stress and pathogen-inducible motifs found in the upstream region. Expressed in flower, leaves and siliques but absent in roots. Predicted to be a member of PR-14 pathogenesis-related protein family with the following members:   At2g38540/LTP1, At2g38530/LTP2, At5g59320/LTP3, At5g59310/LTP4, At3g51600/LTP5, At3g08770/LTP6, At2g15050/LTP7, At2g18370/LTP8, At2g15325/LTP9, At5g01870/LTP10, At4g33355/LTP11, At3g51590/LTP12, At5g44265/LTP13, At5g62065/LTP14, At4g08530/LTP15.",71.512,344,86,4,1,335,1,341,1.69e-42,172,UNduration2011,NA,NA,NA,NA,NA
Bra000069,NA,NA,QTL6,A03,9163355,9165185,AT2G38560.1,AT2G38560,RDO2;TFIIS,"Encodes RNA polymerase II transcript elongation factor TFIIS.  Complements yeast TFIIS mutation.  Mutant plants display essentially normal development, but they flower slightly earlier than the wild type and show clearly reduced seed dormancy.",81.365,1143,171,5,211,1317,1,1137,0,1117,UNduration2011,4.992008419800289,2.3361648940062643,1.5786425139656193e-9,5.018465689772275e-9,19651
Bra000070,NA,NA,QTL6,A03,9165235,9167025,AT2G38570.1,AT2G38570,"NA","NA",80.317,884,147,2,148,1031,987,131,0,825,UNduration2011,3.2562120159991563,3.4388579495022795,1.2360486036241646e-18,8.82346647626931e-18,24653
Bra000071,NA,NA,QTL6,A03,9167976,9171729,AT2G38580.1,AT2G38580,"NA","NA",84.54,1119,146,4,688,1794,346,1449,0,1245,UNduration2011,6.386175786573566,3.4043541324806217,2.363451706724818e-18,1.6537816335949984e-17,24572
Bra000074,NA,NA,QTL6,A03,9182967,9184780,AT2G38600.1,AT2G38600,"NA","NA",86.745,762,95,2,217,978,1,756,0,915,UNduration2011,NA,NA,NA,NA,NA
Bra000075,NA,NA,QTL6,A03,9184824,9187138,AT2G38610.1,AT2G38610,"NA","NA",89.726,876,66,7,378,1244,861,1,0,1164,UNduration2011,4.085985329846357,1.7230458714946097,8.895917611731354e-5,1.539839186650854e-4,12107
Bra000076,NA,NA,QTL6,A03,9189471,9193257,AT2G38255.1,AT2G38255,"NA","NA",78,750,159,1,16,759,253,1002,4.63e-174,610,UNduration2011,NA,NA,NA,NA,NA
Bra000077,NA,NA,QTL6,A03,9194114,9195599,AT2G38620.2,AT2G38620,CDKB1;2,Encodes a member of a plant specific family of cyclin dependent kinases.,86.049,939,128,1,75,1013,1,936,0,1101,UNduration2011,3.406574266209463,3.96493427289733,7.42214476389473e-23,6.563172303865951e-22,25427
Bra000078,NA,NA,QTL6,A03,9195874,9196117,AT2G38630.1,AT2G38630,"NA","NA",86.765,68,9,0,87,154,970,903,1.41e-15,82.4,UNduration2011,NA,NA,NA,NA,NA
Bra000081,NA,NA,QTL6,A03,9208175,9212438,AT2G38650.1,AT2G38650,GAUT7;LGT7,"NA",87.674,1866,221,3,397,2259,1860,1,0,2324,UNduration2011,5.949691045013729,3.6572428038310276,2.1022682922069858e-20,1.6561645342398976e-19,25030
Bra000082,NA,NA,QTL6,A03,9212455,9213411,AT2G38660.1,AT2G38660,"NA","NA",86.486,111,15,0,334,444,919,1029,1.81e-30,132,UNduration2011,NA,NA,NA,NA,NA
Bra000083,NA,NA,QTL6,A03,9214094,9215153,AT4G25710.1,AT4G25710,"NA","NA",86.957,138,18,0,919,1056,249,112,5.87e-41,168,UNduration2011,-0.061588793705046954,2.1957228932339854,2.1681977819470364e-8,6.014892008211499e-8,18335
Bra000084,NA,NA,QTL6,A03,9216189,9218779,AT2G38670.1,AT2G38670,PECT1,"Encodes a mitochondrial ethanolamine-phosphate cytidylyltransferase, involved in phosphatidylethanolamine (PE) biosynthesis.",86.109,1267,161,4,1,1255,1,1264,0,1487,UNduration2011,4.404049415487734,1.2051323085769026,0.10170576906266778,0.11913463216019285,4195
Bra000085,NA,NA,QTL6,A03,9219239,9221076,AT2G38680.1,AT2G38680,"NA","NA",87.345,806,99,1,8,810,908,103,0,993,UNduration2011,4.279250513348823,1.1202321332854275,0.21803064191270208,0.24459019535720378,3114
Bra000086,NA,NA,QTL6,A03,9221423,9222190,AT2G38690.1,AT2G38690,"NA","NA",71.25,640,89,11,1,609,576,1,2.75e-99,361,UNduration2011,-0.1189175549004777,1.9763315520217786,1.1663020758221365e-6,2.5884917480582958e-6,15752
Bra000087,NA,NA,QTL6,A03,9222990,9225228,AT1G48660.1,AT1G48660,"NA","NA",71.529,1714,444,17,241,1929,1710,16,0,854,UNduration2011,0.923995822631738,2.1616814113441145,4.063757582650119e-8,1.08919037377911e-7,17973
Bra000088,NA,NA,QTL6,A03,9227696,9229593,AT2G38710.1,AT2G38710,"NA","NA",89.655,638,63,1,345,982,643,9,0,852,UNduration2011,4.572098407981695,1.7962960048209176,2.639926002968822e-5,4.896254037207103e-5,13212
Bra000089,NA,NA,QTL6,A03,9232510,9234004,AT2G38740.1,AT2G38740,"NA","NA",90.123,729,72,0,281,1009,729,1,0,991,UNduration2011,5.370919483724725,2.0396672433908103,3.7546717202537607e-7,8.881099742263598e-7,16549
Bra000090,NA,NA,QTL6,A03,9234281,9236372,AT2G38750.1,AT2G38750,ANNAT4;AtANN4,Annexins are a family of calcium dependent membrane binding proteins though to be involved in Golgi mediated secretion. This is one of four annexins identified in Arabidopsis.,85.312,960,129,2,250,1197,960,1,0,1097,UNduration2011,3.5231627885785772,2.403078187323285,4.473530557015048e-10,1.5191562900794527e-9,20227
Bra000091,NA,NA,QTL6,A03,9238301,9239966,AT2G38760.1,AT2G38760,ANN3;ANNAT3;AtANN3,"Annexins are calcium binding proteins that are localized in the cytoplasm. When cytosolic Ca2+ increases, they relocate to the plasma membrane.",85.404,966,135,1,96,1055,1,966,0,1108,UNduration2011,2.8305384843403565,3.2462973999149756,4.6681424808271675e-17,3.0120708674398657e-16,24226
Bra000092,NA,NA,QTL6,A03,9240248,9244607,AT2G38780.1,AT2G38780,"NA","NA",82.316,1425,213,10,1,1413,1,1398,0,1424,UNduration2011,3.9175536096033916,2.9632233692511734,1.0213493384320442e-14,5.5203700667741036e-14,23365
Bra000093,NA,NA,QTL6,A03,9243820,9244405,AT2G38790.1,AT2G38790,"NA","NA",78.583,621,91,6,1,585,615,1,2.43e-150,531,UNduration2011,NA,NA,NA,NA,NA
Bra000094,NA,NA,QTL6,A03,9245180,9247831,AT1G61000.1,AT1G61000,"NA","NA",82.389,1323,233,0,41,1363,1,1323,0,1335,UNduration2011,4.290379055311387,7.411053979404479,1.4322900242476423e-46,2.5440452549647714e-45,27055
Bra000095,NA,NA,QTL6,A03,9250365,9250689,AT2G38790.1,AT2G38790,"NA","NA",79.042,334,58,2,1,322,615,282,7.21e-78,289,UNduration2011,NA,NA,NA,NA,NA
Bra000096,NA,NA,QTL6,A03,9251945,9254477,AT2G38800.1,AT2G38800,"NA","NA",73.171,1107,156,23,92,1096,1,1068,0,681,UNduration2011,2.882826141857132,0.8963660213654784,0.75626233605802,0.7815901312272006,930
Bra000097,NA,NA,QTL6,A03,9254394,9255066,AT2G38810.1,AT2G38810,HTA8,"Encodes HTA8, a histone H2A protein.",85.158,411,55,1,1,405,411,1,1.65e-131,468,UNduration2011,2.456805656521316,0.7964807575831325,0.9271146875944578,0.9402979387396112,403
Bra000098,NA,NA,QTL6,A03,9256197,9257975,AT2G38820.2,AT2G38820,"NA","NA",77.952,957,160,8,363,1292,1,933,0,785,UNduration2011,3.5517185854569484,1.4417515133517913,0.006185491794946789,0.008465040995681428,7721
Bra000099,NA,NA,QTL6,A03,9258700,9259861,AT2G38823.1,AT2G38823,"NA","NA",78.025,314,63,2,17,327,14,324,4.51e-66,251,UNduration2011,NA,NA,NA,NA,NA
Bra000100,NA,NA,QTL6,A03,9261166,9265857,AT2G38840.1,AT2G38840,"NA","NA",90.437,1809,173,0,287,2095,1,1809,0,2482,UNduration2011,4.902832052141593,1.4512537892686765,0.005433730310866983,0.007489503368043399,7870
Bra000101,NA,NA,QTL6,A03,9266203,9267159,AT2G38870.1,AT2G38870,"NA","Predicted to encode a PR (pathogenesis-related) peptide that belongs to the PR-6 proteinase inhibitor family.  Six putative PR-6-type protein encoding genes are found in Arabidopsis: At2g38900, At2g38870, At5g43570, At5g43580, At3g50020 and At3g46860.",81.221,213,40,0,224,436,213,1,3.74e-52,205,UNduration2011,NA,NA,NA,NA,NA
Bra000102,NA,NA,QTL6,A03,9269312,9271889,AT3G54620.1,AT3G54620,ATBZIP25;BZIP25;BZO2H4,bZIP transcription factor-like protein mRNA,74.566,633,125,4,303,929,388,990,1.71e-119,430,UNduration2011,5.443813676437642,16.210851685098167,6.09572287639534e-86,2.400442079951945e-84,27941
Bra000103,NA,NA,QTL6,A03,9273150,9277124,AT2G38890.1,AT2G38890,"NA","NA",75.191,915,149,9,433,1296,10,897,0,657,UNduration2011,2.059880938367369,1.0604477503280092,0.34018240508044556,0.3710939569576185,2389
Bra000104,NA,NA,QTL6,A03,9277204,9277803,AT2G38905.1,AT2G38905,"NA","NA",89.697,165,17,0,225,389,165,1,5e-57,221,UNduration2011,1.3929309646940233,3.5277768546735206,2.3385523456430513e-19,1.744058757671566e-18,24825
