name,UN_network,MR_Cutoff,.id,FVTtrait,chrom,start,end,subject,AGI,At_symbol,At_description,perc_ID,aln_length,mismatch,gap_open,qstart,qend,sstart,send,eval,score,AveExpr.UN,F.UN,P.Value.UN,adj.P.Val.UN,rank_F.UN
Bra006015,NA,NA,QTL3,UNiD,A03,1628079,1629780,AT5G08790.1,AT5G08790,anac081;ATAF2,"induced by wounding, belongs to a large family of putative transcriptional activators with NAC domain.",86.449,856,95,4,162,1002,850,1,0,1021,2.2184926067804107,2.16909508781811,3.545061918735212e-8,9.575073967053049e-8,18055
Bra006016,NA,NA,QTL3,UNiD,A03,1634305,1636769,AT5G09220.1,AT5G09220,AAP2,member of AAAP family,87.854,1482,162,2,129,1592,1,1482,0,1869,0.9277322788852828,1.5459732556427854,0.0014085889045443887,0.0020975185287491448,9417
Bra006017,NA,NA,QTL3,UNiD,A03,1637422,1639777,AT5G09300.1,AT5G09300,NA,NA,85.664,1423,184,6,248,1654,1419,1,0,1638,4.593367271079963,2.1513367202795433,4.9155019897756697e-8,1.3010581760030367e-7,17838
Bra006018,NA,NA,QTL3,UNiD,A03,1640490,1641160,AT5G09310.1,AT5G09310,NA,NA,85.649,439,51,1,1,427,441,3,1.36e-145,515,NA,NA,NA,NA,NA
Bra006019,NA,NA,QTL3,UNiD,A03,1641705,1643247,AT5G09330.1,AT5G09330,ANAC082;NAC082;VNI1,NA,76.385,686,100,12,112,796,1020,396,1.51e-143,509,NA,NA,NA,NA,NA
Bra006020,NA,NA,QTL3,UNiD,A03,1644074,1647928,AT5G09400.1,AT5G09400,KUP7,potassium transporter,89.133,2595,264,3,26,2620,1,2577,0,3411,4.903865924580269,4.0836168560639825,8.681195114288035e-24,7.930927391217636e-23,25531
Bra006021,NA,NA,QTL3,UNiD,A03,1647934,1649119,AT5G09430.1,AT5G09430,NA,NA,88.675,936,106,0,26,961,1,936,0,1211,2.939364582016972,3.0908033330944007,8.954180917047186e-16,5.297120481426098e-15,23823
Bra006022,NA,NA,QTL3,UNiD,A03,1651370,1653106,AT5G09470.1,AT5G09470,DIC3,"Encodes one of the mitochondrial dicarboxylate carriers (DIC): DIC1 (AT2G22500), DIC2 (AT4G24570), DIC3 (AT5G09470).",88.166,1014,114,1,127,1134,1014,1,0,1288,1.2789186848418144,1.9639698876043874,1.4522811435002343e-6,3.1762279388056695e-6,15561
Bra006023,NA,NA,QTL3,UNiD,A03,1653210,1654076,AT5G09480.1,AT5G09480,NA,NA,75.369,406,73,3,398,776,416,11,1.61e-78,293,NA,NA,NA,NA,NA
Bra006024,NA,NA,QTL3,UNiD,A03,1654492,1655105,AT5G09500.1,AT5G09500,NA,NA,89.625,453,44,1,13,462,453,1,3.8e-172,603,4.949341452163727,3.589762931178431,7.362286274845377e-20,5.63884645811561e-19,24926
Bra006025,NA,NA,QTL3,UNiD,A03,1656110,1657021,AT5G09530.1,AT5G09530,PELPK1;PRP10,NA,78.234,657,107,4,173,829,621,1,3.33e-157,554,NA,NA,NA,NA,NA
Bra006026,NA,NA,QTL3,UNiD,A03,1657952,1660767,AT5G09550.1,AT5G09550,GDI,NA,91.33,1338,98,1,1,1320,1,1338,0,1902,0.7554660529800759,1.6575646676148583,2.5496230177924354e-4,4.173857507656095e-4,11157
Bra006027,NA,NA,QTL3,UNiD,A03,1661258,1665510,AT5G09590.1,AT5G09590,HSC70-5;MTHSC70-2,heat shock protein 70 (Hsc70-5); nuclear,86.978,2058,247,3,331,2376,1,2049,0,2509,5.902967176167616,1.7018509383442413,1.2554062076764898e-4,2.1337514176599044e-4,11802
Bra006028,NA,NA,QTL3,UNiD,A03,1664614,1666530,AT5G09630.1,AT5G09630,NA,NA,68.453,1157,322,17,166,1296,1161,22,2.09e-111,403,1.1089330177673056,3.162492050462739,2.289173238685498e-16,1.4140490930108998e-15,24028
Bra006029,NA,NA,QTL3,UNiD,A03,1668423,1670153,AT5G09650.1,AT5G09650,AtPPa6;PPa6,Encodes a protein with inorganic pyrophosphatase activity.,89.037,903,87,2,178,1068,903,1,0,1184,5.758273058880283,1.4693489381720641,0.004232398553561453,0.0059121181958534195,8146
Bra006030,NA,NA,QTL3,UNiD,A03,1673019,1673689,AT5G39650.1,AT5G39650,DAU2,NA,87.324,568,69,1,1,568,169,733,0,699,-1.3515214097145223,2.6294016354787324,6.052120808990498e-12,2.5299241666978654e-11,21811
Bra006031,NA,NA,QTL3,UNiD,A03,1674856,1677307,AT5G09760.1,AT5G09760,NA,NA,86.13,1651,215,4,220,1857,1,1650,0,1939,3.3204796524563793,3.5654259966550472,1.1584205175986614e-19,8.797244873779715e-19,24894
Bra006032,NA,NA,QTL3,UNiD,A03,1677876,1679566,AT5G09770.1,AT5G09770,NA,NA,88.602,465,53,0,16,480,465,1,4.63e-171,600,3.5582449743192712,2.4105839212835938,3.881902724075262e-10,1.327524600904087e-9,20286
Bra006033,NA,NA,QTL3,UNiD,A03,1690539,1692982,AT5G09810.1,AT5G09810,ACT7;AtACT7,Member of Actin gene family.Mutants are defective in germination and root growth.,90.653,1134,106,0,164,1297,1,1134,0,1568,8.233097133594972,1.1713641566304618,0.1401801989524602,0.16119232856961732,3738
Bra006034,NA,NA,QTL3,UNiD,A03,1693743,1695362,AT5G09820.2,AT5G09820,NA,NA,86.983,822,98,2,269,1081,822,1,0,1e3,3.4286345916882475,1.3796881273827868,0.014004845497539976,0.01830867393513047,6740
Bra006035,NA,NA,QTL3,UNiD,A03,1697372,1699881,AT5G09850.1,AT5G09850,NA,NA,82.369,1072,123,12,368,1385,1060,1,0,1086,6.094112907283287,1.6799974437980925,1.7842957463386436e-4,2.981418106664116e-4,11512
Bra006036,NA,NA,QTL3,UNiD,A03,1702661,1708723,AT5G09870.1,AT5G09870,CESA5;MUM3,"Encodes a cellulose synthase isomer, related to CESA6.  As inferred from the null role of secondary wall-type CesAs, included in a set of five primary wall-type CesAs that may support trichome cell wall thickening.",85.141,3237,448,7,1,3231,1,3210,0,3667,5.531067960027886,1.8687288399350825,7.681611600396981e-6,1.529812027510807e-5,14274
Bra006037,NA,NA,QTL3,UNiD,A03,1709619,1709942,AT5G09876.1,AT5G09876,NA,NA,79.783,277,44,3,45,309,42,318,2.68e-64,244,NA,NA,NA,NA,NA
Bra006038,NA,NA,QTL3,UNiD,A03,1711245,1714540,AT5G09900.3,AT5G09900,EMB2107;MSA;RPN5A,Encodes one of two isoforms for the 26S proteasome regulatory protein (RN) subunit RPN5. For many functions it acts redundantly with the paralogous gene RPN5b but also appears to exert independent effects.,89.705,1389,129,6,204,1579,1388,1,0,1846,6.56299318917534,2.200416057631169,1.987847807397183e-8,5.539232206693472e-8,18381
Bra006039,NA,NA,QTL3,UNiD,A03,1714779,1715923,AT5G09920.1,AT5G09920,ATRPB15.9;NRPB4;RPB15.9;RPB15.9.9,Non-catalytic subunit specific to DNA-dependent RNA polymerase II; the ortholog of budding yeast RPB4),94.484,417,23,0,1,417,1,417,0,648,5.240812090990144,3.097857154115381,7.828547811151562e-16,4.650410456902051e-15,23843
Bra006040,NA,NA,QTL3,UNiD,A03,1716722,1717349,AT5G09940.1,AT5G09940,NA,NA,70.909,660,139,14,1,626,1,641,1.55e-83,309,NA,NA,NA,NA,NA
Bra006041,NA,NA,QTL3,UNiD,A03,1720914,1721893,AT5G09980.1,AT5G09980,PROPEP4,NA,78.243,239,34,4,112,341,10,239,1.96e-49,196,NA,NA,NA,NA,NA
Bra006042,NA,NA,QTL3,UNiD,A03,1722389,1725463,AT5G10010.1,AT5G10010,HIT4,NA,90.323,465,45,0,733,1197,841,1305,0,636,3.5139708687738054,1.9354613168993016,2.401989100441381e-6,5.104160072007524e-6,15178
Bra006043,NA,NA,QTL3,UNiD,A03,1727122,1730853,AT5G10020.1,AT5G10020,SIRK1,NA,80.748,3127,520,11,137,3192,26,3141,0,2949,4.410244424758954,2.309117422197654,2.622694883500849e-9,8.102092340539045e-9,19389
Bra006044,NA,NA,QTL3,UNiD,A03,1734631,1736439,AT5G10050.1,AT5G10050,NA,NA,88.172,837,99,0,13,849,1,837,0,1063,4.125244869847693,1.6003576954308696,6.213334152210394e-4,9.669083892930602e-4,10247
Bra006045,NA,NA,QTL3,UNiD,A03,1736267,1738888,AT5G10060.1,AT5G10060,NA,NA,83.057,1446,161,13,491,1888,1410,1,0,1521,5.046418657086661,1.8542418966014613,9.856639838381498e-6,1.9330288061754056e-5,14051
Bra006046,NA,NA,QTL3,UNiD,A03,1739749,1741477,AT5G10090.1,AT5G10090,TPR13,NA,81.924,1372,194,4,32,1355,1775,410,0,1388,NA,NA,NA,NA,NA
Bra006047,NA,NA,QTL3,UNiD,A03,1747883,1750577,AT5G10100.2,AT5G10100,TPPI,NA,87.185,991,93,2,213,1200,61,1020,0,1236,NA,NA,NA,NA,NA
Bra006048,NA,NA,QTL3,UNiD,A03,1756702,1758429,AT5G10110.1,AT5G10110,NA,NA,79.83,471,81,4,355,825,954,498,3.18e-115,416,5.032375553653957,1.2942302006779955,0.03938684464431136,0.04867830928880488,5473
Bra006050,NA,NA,QTL3,UNiD,A03,1762947,1764210,AT5G10120.1,AT5G10120,NA,NA,88.517,418,42,2,1,415,1,415,3.44e-151,535,NA,NA,NA,NA,NA
Bra006051,NA,NA,QTL3,UNiD,A03,1764423,1768165,AT5G10140.1,AT5G10140,AGL25;FLC;FLF;RSB6,"MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization, FRI and the autonomous pathway all influence the state of FLC chromatin. Both maternal and paternal alleles are reset by vernalization, but their earliest activation differs in timing and location. Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression, whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3 to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex.;MADS-box protein encoded by FLOWERING LOCUS C - transcription factor that functions as a repressor of floral transition and contributes to temperature compensation of the circadian clock. Expression is downregulated during cold treatment. Vernalization, FRI and the autonomous pathway all influence the state of FLC chromatin.  Histone H3 trimethylation at lysine 4 and histone acetylation are associated with active FLC expression, whereas histone deacetylation and histone H3 dimethylation at lysines 9 and 27 are involved in FLC repression. Expression is also repressed by two small RNAs (30- and 24-nt) complementary to the FLC sense strand 3 to the polyA site. The small RNAs are most likely derived from an antisense transcript of FLC. Interacts with SOC1 and FT chromatin in vivo. Member of a protein complex.",87.605,597,65,3,489,1082,591,1,0,738,2.138217780846723,6.651909926367651,6.526979691290347e-42,1.0518013141647649e-40,26890
Bra006052,NA,NA,QTL3,UNiD,A03,1768598,1770216,AT5G10160.1,AT5G10160,NA,NA,87.444,669,72,2,219,887,1,657,0,830,7.123908256281543,4.095823101140121,6.969267301682987e-24,6.389349376547742e-23,25542
Bra006053,NA,NA,QTL3,UNiD,A03,1770682,1773971,AT5G10240.1,AT5G10240,ASN3,Encodes asparagine synthetase (ASN3).,88.545,1746,188,3,284,2026,1737,1,0,2244,6.555827330818317,5.097706081331383,2.0750099987015704e-31,2.4806666656704177e-30,26271
Bra006054,NA,NA,QTL3,UNiD,A03,1775775,1777928,AT5G10260.1,AT5G10260,AtRABH1e;RABH1e,NA,90.032,622,62,0,236,857,1,622,0,843,3.6968132727383844,2.7116461738174027,1.2565981733939988e-12,5.6033841087041775e-12,22240
Bra006055,NA,NA,QTL3,UNiD,A03,1778741,1785669,AT5G10280.1,AT5G10280,ATMYB64;ATMYB92;MYB92,Encodes a putative transcription factor (MYB92).,83.671,1035,124,5,727,1746,1,1005,0,1122,0.6206094320464892,1.4016176203140742,0.010555119843494814,0.014020023892568656,7086
Bra006056,NA,NA,QTL3,UNiD,A03,1786758,1788400,AT5G10360.1,AT5G10360,EMB3010;RPS6B,RPS6A and RPS6B are fully redundant and essential during gametogenesis.,89.6,750,78,0,159,908,750,1,0,1002,8.369131316885522,1.4246430232141378,0.007788182319703283,0.010520761980079809,7447
Bra006057,NA,NA,QTL3,UNiD,A03,1788592,1794698,AT5G10370.1,AT5G10370,NA,NA,84.132,5029,754,9,316,5316,312,5324,0,5470,4.816892782358275,1.1439150451028528,0.1789024322204198,0.2029349474496496,3396
Bra006058,NA,NA,QTL3,UNiD,A03,1795179,1799408,AT5G44050.1,AT5G44050,NA,NA,83.803,1420,212,2,465,1866,1420,1,0,1532,6.277859130867245,3.2497660534764585,4.371321561395275e-17,2.8256380275553493e-16,24234
Bra006059,NA,NA,QTL3,UNiD,A03,1803890,1806752,AT5G44050.1,AT5G44050,NA,NA,85.42,1454,194,4,168,1603,1454,1,0,1665,3.1833162729149658,2.020428519251736,5.306619253992623e-7,1.2308265434745995e-6,16309
Bra006060,NA,NA,QTL3,UNiD,A03,1810967,1811537,AT5G10430.1,AT5G10430,AGP4;ATAGP4,Encodes arabinogalactan-protein (AGP4).,79.108,426,71,3,1,426,408,1,4.89e-102,370,NA,NA,NA,NA,NA
Bra006061,NA,NA,QTL3,UNiD,A03,1812899,1814646,AT5G10450.1,AT5G10450,14-3-3lambda;AFT1;GRF6,"Encodes a member of the 14-3-3 gene family that is a lambda isoform (14-3-3&#955;). Interacts with APX3 (ascorbate peroxidase) and AKR2 , suggesting a role in mediating oxidative metabolism in stress response. This protein was shown to colocalize and interact with SERK1 by which it is phosphorylated. This protein is also reported to interact with the phosphorylated form of the BZR1 transcription factor involved in brassinosteroid signaling and may affect the nucleocytoplasmic shuttling of BZR1.",85.752,751,101,2,325,1075,747,3,0,868,6.309286618369023,1.4368700973018806,0.006608316803314737,0.009006714182629404,7635
Bra006062,NA,NA,QTL3,UNiD,A03,1822226,1824293,AT5G10480.1,AT5G10480,PAS2;PEP,"Protein tyrosine phosphatase-like involved in cell division and differentiation. Interacts with CDKA;1 only in its phosphorylated form, preventing dephosphorylation. Overexpression slowed down cell division in suspension cell cultures at the G2-to-M transition and early  mitosis and inhibited Arabidopsis seedling growth. Localized in  the cytoplasm of dividing cells but moved into the nucleus upon cell differentiation. Based on complementation of yeast mutant PAS2 has acyl-CoA dehydratase activity. It interacts with CER10, a component of the microsomal fatty acid elongase complex, suggesting a role in synthesis of VLCFAs (very long chain fatty acids).",91.742,666,55,0,292,957,666,1,0,953,6.302799369775065,2.8044152719079216,2.129695760160269e-13,1.0228533766506047e-12,22700
Bra006063,NA,NA,QTL3,UNiD,A03,1825094,1825894,AT4G25710.1,AT4G25710,NA,NA,68.241,614,143,18,217,798,1108,515,1.11e-48,194,-0.07119020758124192,26.794548465328315,3.877443889386861e-115,2.972154048688303e-113,28295
Bra006064,NA,NA,QTL3,UNiD,A03,1826554,1830511,AT5G10490.1,AT5G10490,MSL2,"A member of MscS-like gene family, structurally very similar to MSL3, comprising of an N-terminal chloroplast transit peptide, five trans-membrane helices and a C-terminal cytoplasmic domain. Mutant plants showed abnormalities in the size and shape of plastids. MSL2-GFP was localized to discrete foci on the plastid envelope and co-localize with the plastid division protein AtMinE.",86.684,1517,193,2,519,2035,1508,1,0,1824,4.532273217453817,4.850939004932776,1.3010964157849684e-29,1.4627385116754304e-28,26119
Bra006065,NA,NA,QTL3,UNiD,A03,1836913,1841589,AT5G10510.2,AT5G10510,AIL6;PLT3,Encodes an AP2-domain transcription factor involved in root stem cell identity and root development.,84.237,1770,162,20,361,2040,3,1745,0,1950,2.149360456692243,2.232741190696547,1.0913836093013141e-8,3.141974825411737e-8,18711
Bra006066,NA,NA,QTL3,UNiD,A03,1842184,1844280,AT5G10530.1,AT5G10530,LecRK-IX.1,NA,82.09,1971,329,4,135,2096,1956,1,0,1966,NA,NA,NA,NA,NA
Bra006067,NA,NA,QTL3,UNiD,A03,1845401,1850093,AT5G10540.1,AT5G10540,TOP2,NA,92.165,2106,165,0,100,2205,1,2106,0,3054,6.117645805420457,2.056635541296908,2.764164639238274e-7,6.628445995623826e-7,16714
Bra006068,NA,NA,QTL3,UNiD,A03,1849922,1852689,AT5G10550.1,AT5G10550,GTE2,This gene is predicted to encode a bromodomain-containing protein. A plant line expressing RNAi constructs targeted against GTE7 shows some resistance to agrobacterium-mediated root transformation.,81.519,1277,175,10,4,1245,1962,712,0,1249,6.52850447626483,2.5301370684970768,4.0171937219530234e-11,1.535115621689899e-10,21167
Bra006069,NA,NA,QTL3,UNiD,A03,1855836,1858703,AT5G10630.1,AT5G10630,NA,NA,87.5,1648,186,3,265,1893,358,2004,0,2048,4.05478217155455,1.364483325272547,0.016970400353685883,0.021958270325847035,6513
Bra006070,NA,NA,QTL3,UNiD,A03,1858815,1861886,AT5G10650.1,AT5G10650,NA,NA,79.224,1598,202,17,336,1823,1578,1,0,1425,2.9075112525543374,2.553404273461178,2.579336578630311e-11,1.0079664808638735e-10,21333
Bra006071,NA,NA,QTL3,UNiD,A03,1867041,1868292,AT5G10660.1,AT5G10660,NA,NA,80.99,768,101,7,1,729,1,762,0,737,NA,NA,NA,NA,NA
Bra006072,NA,NA,QTL3,UNiD,A03,1867026,1869227,AT5G10660.1,AT5G10660,NA,NA,81.301,1230,167,10,16,1188,1,1224,0,1193,3.710556350417904,1.5260517159776543,0.0018867893143639206,0.002764089941447436,9100
Bra006073,NA,NA,QTL3,UNiD,A03,1869215,1872419,AT5G10710.2,AT5G10710,NA,NA,85.806,937,112,3,267,1197,1,922,0,1095,4.889801205394192,0.7743082073500916,0.9488851361234881,0.9597656946120084,326
Bra006074,NA,NA,QTL3,UNiD,A03,1874846,1876617,AT5G10720.1,AT5G10720,AHK5;CKI2;HK5,member of Histidine Kinase,82.701,1081,160,2,129,1185,6,1083,0,1122,NA,NA,NA,NA,NA
Bra006075,NA,NA,QTL3,UNiD,A03,1879928,1884842,AT5G10720.1,AT5G10720,AHK5;CKI2;HK5,member of Histidine Kinase,84.069,2787,351,11,321,3032,1,2769,0,3059,NA,NA,NA,NA,NA
Bra006076,NA,NA,QTL3,UNiD,A03,1885223,1886608,AT5G10745.1,AT5G10745,NA,NA,91.026,156,14,0,133,288,1,156,4.6e-56,219,5.132129450178606,0.8655980352650839,0.8213760105424255,0.8427474847081441,728
Bra006077,NA,NA,QTL3,UNiD,A03,1887118,1888621,AT5G10750.1,AT5G10750,NA,NA,84.759,912,136,1,289,1200,1,909,0,1016,3.0637138148707908,0.7385855785298379,0.9733529133425861,0.9807768204880412,218
Bra006078,NA,NA,QTL3,UNiD,A03,1889637,1892322,AT5G10840.1,AT5G10840,EMP1,NA,93.504,585,38,0,1439,2023,1947,1363,0,884,5.923974413165839,1.1511371635681713,0.16803474156215956,0.19120504767420776,3475
Bra006079,NA,NA,QTL3,UNiD,A03,1891737,1894462,AT5G10840.1,AT5G10840,EMP1,NA,90.198,1918,183,2,827,2740,1947,31,0,2607,2.4814570826262754,1.2790515208050097,0.04675488932127238,0.05722693053805126,5247
Bra006080,NA,NA,QTL3,UNiD,A03,1895327,1898370,AT5G10840.1,AT5G10840,EMP1,NA,91.279,1915,162,1,131,2045,38,1947,0,2700,6.302821361894654,1.451778592784275,0.005394803855161709,0.007441216172044643,7885
Bra006081,NA,NA,QTL3,UNiD,A03,1898752,1901498,AT5G01960.1,AT5G01960,NA,NA,82.701,1318,157,19,293,1576,1,1281,0,1328,5.349715439331481,1.2046513840276893,0.10218754265984713,0.11965985103228892,4187
Bra006082,NA,NA,QTL3,UNiD,A03,1904895,1906671,AT5G10950.1,AT5G10950,NA,NA,77.872,235,37,5,758,977,284,50,1.04e-44,181,3.9569369079110515,0.8501946703533731,0.8500055690898608,0.8696320493439965,648
Bra006083,NA,NA,QTL3,UNiD,A03,1911165,1912567,AT5G10960.1,AT5G10960,NA,NA,80.526,837,160,2,254,1090,1,834,0,769,5.000979879674768,1.2902386235224794,0.04121914578184849,0.05079831791221875,5407
Bra006084,NA,NA,QTL3,UNiD,A03,1912943,1913444,AT5G10980.1,AT5G10980,H3.3,NA,87.363,182,23,0,1,182,411,230,1.91e-58,224,2.776187152914259,1.531549434191012,0.0017413066160442197,0.0025615649665822913,9181
Bra006085,NA,NA,QTL3,UNiD,A03,1921530,1924704,AT5G11060.1,AT5G11060,KNAT4,"A member of Class II KN1-like homeodomain transcription factors (together with KNAT3 and KNAT5), with greatest homology to the maize knox1 homeobox protein. Expression regulated by light. Detected in all tissues examined, but most prominent in leaves and young siliques. Transient expression of GFP translational fusion protein suggests bipartite localization in nucleus and cytoplasm. KNAT4 promoter activity showed cell-type specific pattern along longitudinal root axis; GUS expression pattern started at the elongation zone, predominantly in the phloem and pericycle cells, extending to endodermis toward the base of the root.",87.354,1202,108,4,530,1707,1,1182,0,1505,2.2032100530491854,1.8085012720617182,2.148797833452249e-5,4.0323189297250164e-5,13392
Bra006086,NA,NA,QTL3,UNiD,A03,1928178,1928913,AT5G11070.1,AT5G11070,NA,NA,79.437,462,80,6,240,689,459,1,1.95e-108,392,4.604525523827306,1.9161040784059096,3.3729729869988723e-6,7.026843222969528e-6,14908
Bra006087,NA,NA,QTL3,UNiD,A03,1931534,1932381,AT1G53530.1,AT1G53530,NA,NA,86.835,357,47,0,11,367,17,373,1.29e-120,432,0.7127399818452708,1.2771665820110067,0.04774826885752248,0.05839792540987434,5229
Bra006088,NA,NA,QTL3,UNiD,A03,1936336,1936990,AT5G11090.1,AT5G11090,NA,NA,76.551,661,109,14,1,635,1,641,2.24e-132,471,3.4208912477193625,1.1991244229876883,0.10785633515316123,0.12585068241160918,4100
